"","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample20","Sample6","Sample63","Sample7","Sample8","Sample9"
"Or10ag56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10ag57",1.011,7.544,2.521,0,0.962,4.236,1.015,1.012,0.979,1.011,2.173,2.01,3.978,1.122,0
"Or10ag58",4,0,0,0,2,1,1,0,0,0,0,0,0,0,0
"Or10ag59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10ag60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10ak10-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10ak11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10ak12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10ak13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10ak14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10ak16",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Or10ak7",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
"Or10ak8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10ak9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10al2",0,0,0,0,0,0,0,0,0,0,0,0,0.979,0,0
"Or10al4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10al5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10al6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10al7",2,1,0,0,0,0,2,0,0,0,1,0,0,0,0
"Or10am5",1.002,0,3,0,0,0,1.004,0,0,0,1,0,0,0,0
"Or10aq1-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10b1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10d1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10d1b",3.012,0,0,0,2.009,0,0,3.261,1.001,2.003,0,2,3.007,2.001,2.979
"Or10d1c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10d3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10d4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10d4b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10d4c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10d5",2.004,9.205,0,2.094,3.031,2,7.185,2,1.956,0.997,1,0,1.027,2.005,0
"Or10d5b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10d5j",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Or10g1",0,0,0,0,0,0,0,0,0,0,2.004,0,0,0,0
"Or10g1b",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Or10g3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10g3b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10g6",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Or10g7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10g9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10g9b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10h1",0,0,0,1.002,1,0,0,0,0,0,0,0,0,0,0
"Or10h1b",2.742,1,1.001,0,0,0,0,0,0,1.538,3.242,0,0,0,0
"Or10h28",1,0,0,1,1,1,2,1.012,0,1,0,0,3,2.193,0
"Or10h5",5.093,1,3.002,0,5.005,0,0,3.021,1,1.651,1.094,2.323,4.018,3.005,2
"Or10i1-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10j2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10j27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10j28-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
